category,commodity,source_method,cost_basis,cost_text,meaningful_metric,driver_extraction,driver_processing,driver_energy_reagents,driver_logistics,driver_fiscal_esg,driver_structural,is_byproduct,drivers_raw,vintage
Base Metals,Nickel,Laterite open-pit (HPAL/RKEF) or sulphide underground (flotation),Per tonne ore mined / per tonne Ni,Ore mining ~$10-30/t; total-to-metal set by processing route,$/t Ni; route (HPAL vs RKEF vs sulphide) is the swing,grade & deposit type (limonite vs saprolite laterite; sulphide).,ROUTE DOMINATES — HPAL (sulphuric-acid intensive) vs RKEF (energy intensive) vs sulphide flotation+smelting.,acid (HPAL) or coal/electricity (RKEF) huge.,"ore moisture, concentrate/MHP shipping.","acid-tailings neutralisation, deep-sea tailings controversy, Indonesia export policy.",COBALT by-product credit; Indonesian RKEF flood has reset the cost curve.,FALSE,"EXTRACTION: grade & deposit type (limonite vs saprolite laterite; sulphide). PROCESSING: ROUTE DOMINATES — HPAL (sulphuric-acid intensive) vs RKEF (energy intensive) vs sulphide flotation+smelting. ENERGY/REAGENTS: acid (HPAL) or coal/electricity (RKEF) huge. LOGISTICS: ore moisture, concentrate/MHP shipping. FISCAL/ESG: acid-tailings neutralisation, deep-sea tailings controversy, Indonesia export policy. STRUCTURAL: COBALT by-product credit; Indonesian RKEF flood has reset the cost curve.",2025-26
Base Metals,Tin,Alluvial dredging/gravity or hard-rock cassiterite (flotation/gravity),Per tonne ore / per tonne Sn,"Alluvial low; hard-rock higher. Metal price ~$25,000-35,000/t Sn",$/t Sn; alluvial vs hard-rock split,cassiterite grade; alluvial (cheap gravity) vs hard-rock (drill-blast-mill).,gravity concentration; some flotation; smelting/fuming.,modest for alluvial; higher for hard-rock milling.,concentrate to smelter.,artisanal/illegal mining & conflict-mineral due diligence; dredging & river-sediment impacts.,"heavy artisanal supply (Myanmar, DRC, Indonesia) sets marginal cost; tantalum often co-recovered.",FALSE,"EXTRACTION: cassiterite grade; alluvial (cheap gravity) vs hard-rock (drill-blast-mill). PROCESSING: gravity concentration; some flotation; smelting/fuming. ENERGY/REAGENTS: modest for alluvial; higher for hard-rock milling. LOGISTICS: concentrate to smelter. FISCAL/ESG: artisanal/illegal mining & conflict-mineral due diligence; dredging & river-sediment impacts. STRUCTURAL: heavy artisanal supply (Myanmar, DRC, Indonesia) sets marginal cost; tantalum often co-recovered.",2025-26
Precious Metals,Gold,"Open-pit mill, heap leach, or underground (also by-product of Cu)",Per tonne ore milled / per ounce Au,"Ore: ~$15-45/t. Metal: AISC ~$1,000-1,500/oz (2025-26 avg ~$1,520)",AISC per troy ounce,head grade (g/t) dominant; strip ratio; depth (UG cost).,"metallurgy — free-milling vs REFRACTORY (needs roasting/pressure-ox/BIOX, big cost step); recovery.","milling energy, cyanide, lime, activated carbon.",doré is high-value/low-volume => transport trivial.,"cyanide & tailings management, jurisdiction/security risk, govt take.",oxide heap-leach (cheap) vs sulphide CIL/CIP; Ag/Cu by-product credits.,FALSE,"EXTRACTION: head grade (g/t) dominant; strip ratio; depth (UG cost). PROCESSING: metallurgy — free-milling vs REFRACTORY (needs roasting/pressure-ox/BIOX, big cost step); recovery. ENERGY/REAGENTS: milling energy, cyanide, lime, activated carbon. LOGISTICS: doré is high-value/low-volume => transport trivial. FISCAL/ESG: cyanide & tailings management, jurisdiction/security risk, govt take. STRUCTURAL: oxide heap-leach (cheap) vs sulphide CIL/CIP; Ag/Cu by-product credits.",2025-26
Precious Metals,Silver,By-product of Pb/Zn/Cu (~70%) or primary Ag mines (~30%),Per ounce Ag,"AISC ~$26-28/oz (primary, 2024 avg ~$26.86); near-zero for by-product",AISC per troy ounce (co-product method),"at primary mines, grade & depth; at polymetallic mines, silver rides on the host.",flotation/leach recovery; refining of dore/anode slimes.,shared with host metal at by-product operations.,minimal (high value density).,same as host base-metal mine.,~2/3 of supply is a BY-PRODUCT => primary-mine AISC overstates true marginal cost; cost allocation method (by-product vs co-product) changes the headline number materially.,FALSE,"EXTRACTION: at primary mines, grade & depth; at polymetallic mines, silver rides on the host. PROCESSING: flotation/leach recovery; refining of dore/anode slimes. ENERGY/REAGENTS: shared with host metal at by-product operations. LOGISTICS: minimal (high value density). FISCAL/ESG: same as host base-metal mine. STRUCTURAL: ~2/3 of supply is a BY-PRODUCT => primary-mine AISC overstates true marginal cost; cost allocation method (by-product vs co-product) changes the headline number materially.",2025-26
Precious Metals,Platinum-Group Elements (PGE),Reef/UG (Bushveld) or by-product of Ni/Cu sulphide,Per ounce (4E/6E basket),"Primary Pt AISC ~$1,000/oz (2026); basket economics",AISC per oz; '4E'/'6E' PGE basket price,"deep, narrow tabular reefs => labour-intensive, low productivity, deepening & lower grade.",complex smelting + base-metal refinery + precious-metal refinery; long pipeline lock-up.,"smelting power, reagents; South African grid risk.",concentrate within integrated complex.,"deep-mine safety, water, community, Eskom power reliability, FX (ZAR).","priced as a BASKET (Pt, Pd, Rh, Ru, Ir + Au/Ni/Cu credits) — one element's price props the whole mine; auto-catalyst demand vs EV substitution.",FALSE,"EXTRACTION: deep, narrow tabular reefs => labour-intensive, low productivity, deepening & lower grade. PROCESSING: complex smelting + base-metal refinery + precious-metal refinery; long pipeline lock-up. ENERGY/REAGENTS: smelting power, reagents; South African grid risk. LOGISTICS: concentrate within integrated complex. FISCAL/ESG: deep-mine safety, water, community, Eskom power reliability, FX (ZAR). STRUCTURAL: priced as a BASKET (Pt, Pd, Rh, Ru, Ir + Au/Ni/Cu credits) — one element's price props the whole mine; auto-catalyst demand vs EV substitution.",2025-26
Fuel & Atomic,Uranium,"ISR (in-situ recovery), open-pit, or underground (India: deep hard-rock UG, UCIL Jaduguda)",Per pound U3O8 (yellowcake),ISR/high-grade ~$15-30/lb; weighted avg ~$30-60/lb; deep low-grade $60-120+/lb,$/lb U3O8 cash + all-in,"METHOD is decisive — ISR (cheapest, >70% of world supply) vs open-pit vs deep UG (India's mode = high-cost, low-grade ~0.05% U).","leaching (acid/alkaline), milling, yellowcake precipitation; grade sets tonnes per lb.","acid/lixiviant, power; UG ventilation.","low volume, secure transport.","radiation safety, tailings (radon, long-lived), permitting & public acceptance — major cost & timeline driver.",India's deposits are low-grade => intrinsically high-cost; sometimes a by-product (Olympic Dam ~$45-50/lb).,FALSE,"EXTRACTION: METHOD is decisive — ISR (cheapest, >70% of world supply) vs open-pit vs deep UG (India's mode = high-cost, low-grade ~0.05% U). PROCESSING: leaching (acid/alkaline), milling, yellowcake precipitation; grade sets tonnes per lb. ENERGY/REAGENTS: acid/lixiviant, power; UG ventilation. LOGISTICS: low volume, secure transport. FISCAL/ESG: radiation safety, tailings (radon, long-lived), permitting & public acceptance — major cost & timeline driver. STRUCTURAL: India's deposits are low-grade => intrinsically high-cost; sometimes a by-product (Olympic Dam ~$45-50/lb).",2025-26
Fuel & Atomic,Thorium,"By-product of beach-sand monazite mining (India: Kerala, TN, Odisha coast; IREL)",Per tonne monazite / per kg Th,No standalone Th mine — recovered from monazite (~8-10% ThO2),Cost embedded in mineral-sands & REE processing,NOT mined for thorium — recovered from heavy-mineral beach sands dredged primarily for ilmenite/rutile/zircon/garnet.,"monazite cracking (acid/alkali) to separate Th, U and rare earths — chemically complex & regulated.","caustic/acid digestion, energy.",minor volume.,"monazite is radioactive (Th+U) => strict Atomic Energy regulation, secure storage of Th residues; coastal/CRZ environmental limits.","economics ride on the ilmenite/zircon/REE basket; Th itself has no current fuel-cycle market => stockpiled, not sold.",TRUE,"EXTRACTION: NOT mined for thorium — recovered from heavy-mineral beach sands dredged primarily for ilmenite/rutile/zircon/garnet. PROCESSING: monazite cracking (acid/alkali) to separate Th, U and rare earths — chemically complex & regulated. ENERGY/REAGENTS: caustic/acid digestion, energy. LOGISTICS: minor volume. FISCAL/ESG: monazite is radioactive (Th+U) => strict Atomic Energy regulation, secure storage of Th residues; coastal/CRZ environmental limits. STRUCTURAL: economics ride on the ilmenite/zircon/REE basket; Th itself has no current fuel-cycle market => stockpiled, not sold.",2025-26
Critical Minerals (India 30),Antimony,Stibnite ore mining; also by-product of Au/Pb,Per tonne Sb (metal/trioxide),"Metal ~$20,000-60,000/t (spiked 2024-25)",$/t Sb metal / ATO,"stibnite grade; small, often artisanal/underground deposits.",gravity + flotation; pyrometallurgical/hydromet to metal or trioxide.,smelting energy; modest.,concentrate to limited smelters.,arsenic association & toxicity controls; China export curbs.,"supply highly concentrated (China, Tajikistan, Russia) => geopolitical price spikes; flame-retardant & defence demand.",FALSE,"EXTRACTION: stibnite grade; small, often artisanal/underground deposits. PROCESSING: gravity + flotation; pyrometallurgical/hydromet to metal or trioxide. ENERGY/REAGENTS: smelting energy; modest. LOGISTICS: concentrate to limited smelters. FISCAL/ESG: arsenic association & toxicity controls; China export curbs. STRUCTURAL: supply highly concentrated (China, Tajikistan, Russia) => geopolitical price spikes; flame-retardant & defence demand.",2025-26
Critical Minerals (India 30),Beryllium,Bertrandite open-pit / beryl by-product of pegmatite mining,Per kg Be (in alloy/oxide),"Very high, niche; cost dominated by processing",$/kg Be; alloy/oxide spec,low-grade bertrandite or hand-cobbed beryl from pegmatites.,complex hydrometallurgy to beryllium hydroxide/oxide/metal — dominant cost.,specialised chemical processing.,tiny volumes.,SEVERE — berylliosis (chronic lung disease) => stringent dust/worker controls drive cost.,near-monopoly supply (US Spor Mountain); defence/aerospace/electronics demand.,FALSE,EXTRACTION: low-grade bertrandite or hand-cobbed beryl from pegmatites. PROCESSING: complex hydrometallurgy to beryllium hydroxide/oxide/metal — dominant cost. ENERGY/REAGENTS: specialised chemical processing. LOGISTICS: tiny volumes. FISCAL/ESG: SEVERE — berylliosis (chronic lung disease) => stringent dust/worker controls drive cost. STRUCTURAL: near-monopoly supply (US Spor Mountain); defence/aerospace/electronics demand.,2025-26
Critical Minerals (India 30),Bismuth,By-product of lead/tungsten/copper smelting & refining,Per tonne Bi,"Recovered as by-product; metal price volatile (~$8,000-40,000/t historically)",$/t Bi metal,essentially none standalone — collected in lead/W/Cu circuits.,separation from refinery slimes/residues; refining to metal.,incremental refining only.,minor.,shares host-metal footprint.,BY-PRODUCT — cost = incremental recovery vs disposal; China dominant; pharma/low-melt-alloy/lead-substitute demand.,TRUE,EXTRACTION: essentially none standalone — collected in lead/W/Cu circuits. PROCESSING: separation from refinery slimes/residues; refining to metal. ENERGY/REAGENTS: incremental refining only. LOGISTICS: minor. FISCAL/ESG: shares host-metal footprint. STRUCTURAL: BY-PRODUCT — cost = incremental recovery vs disposal; China dominant; pharma/low-melt-alloy/lead-substitute demand.,2025-26
Critical Minerals (India 30),Cobalt,By-product of copper (DRC) & nickel; minor primary,Per tonne Co,"Metal ~$33,000-56,000/t (2025-26); largely a credit to Cu/Ni",$/t Co; mostly a by-product credit,~>70% is a by-product of DRC copper; rest from nickel laterite/sulphide.,"hydromet (SX, MHP, sulphate) for battery grade.",acid/reagents in refining.,DRC->landlocked->port; concentrate/hydroxide shipping.,"DRC artisanal mining, child-labour due diligence, export bans/quotas.","by-product => supply driven by copper economics, not cobalt price; China dominates refining.",TRUE,"EXTRACTION: ~>70% is a by-product of DRC copper; rest from nickel laterite/sulphide. PROCESSING: hydromet (SX, MHP, sulphate) for battery grade. ENERGY/REAGENTS: acid/reagents in refining. LOGISTICS: DRC->landlocked->port; concentrate/hydroxide shipping. FISCAL/ESG: DRC artisanal mining, child-labour due diligence, export bans/quotas. STRUCTURAL: by-product => supply driven by copper economics, not cobalt price; China dominates refining.",2025-26
Critical Minerals (India 30),Copper,See Base Metals sheet,Per t ore / per t Cu,"C1 ~$2.00-2.75/lb (~$4,400-6,000/t Cu)",C1 / AISC per lb,ore grade (%Cu) is dominant; strip ratio; depth & open-pit-to-underground transition; ore hardness (Bond Wi).,comminution (crush+grind) is the bulk of mill opex; recovery & mineralogy (sulphide flotation vs oxide SX-EW leach).,"grinding power ~25-40% of opex; collectors, lime, frother; acid for oxide leach.",concentrate freight + smelter TC/RC charges.,"tailings dam safety, water/desalination, royalties.","by-product credits (Au, Ag, Mo) can halve net cost; grade decline; India is a large refined-copper importer with limited domestic ore. (Fuller treatment in the Base Metals entry.)",FALSE,"EXTRACTION: ore grade (%Cu) is dominant; strip ratio; depth & open-pit-to-underground transition; ore hardness (Bond Wi).; PROCESSING: comminution (crush+grind) is the bulk of mill opex; recovery & mineralogy (sulphide flotation vs oxide SX-EW leach).; ENERGY/REAGENTS: grinding power ~25-40% of opex; collectors, lime, frother; acid for oxide leach.; LOGISTICS: concentrate freight + smelter TC/RC charges.; FISCAL/ESG: tailings dam safety, water/desalination, royalties.; STRUCTURAL: by-product credits (Au, Ag, Mo) can halve net cost; grade decline; India is a large refined-copper importer with limited domestic ore. (Fuller treatment in the Base Metals entry.)",2025-26
Critical Minerals (India 30),Gallium,By-product of Bayer alumina (bauxite) & zinc processing,Per kg Ga,Recovered from process liquor; price spiked after China export curbs,$/kg Ga (purity-graded),none standalone — extracted from Bayer-process caustic liquor (alumina) or zinc residues.,solvent extraction/electrolysis to high-purity gallium.,incremental chemical recovery.,tiny volume.,shares alumina footprint.,BY-PRODUCT — China ~90%+; 2023-24 export controls caused price/availability shock; semiconductors/LEDs demand.,TRUE,EXTRACTION: none standalone — extracted from Bayer-process caustic liquor (alumina) or zinc residues. PROCESSING: solvent extraction/electrolysis to high-purity gallium. ENERGY/REAGENTS: incremental chemical recovery. LOGISTICS: tiny volume. FISCAL/ESG: shares alumina footprint. STRUCTURAL: BY-PRODUCT — China ~90%+; 2023-24 export controls caused price/availability shock; semiconductors/LEDs demand.,2025-26
Critical Minerals (India 30),Germanium,By-product of zinc refining & coal fly ash,Per kg Ge,"Recovered from zinc streams; high value, China export-controlled",$/kg Ge (zone-refined),none standalone — concentrated in zinc concentrates/residues & some lignite ash (cf. Titan Mining recovering Ge from zinc streams).,"chlorination, hydrolysis, zone refining to optical/semiconductor grade.",specialised purification.,minute volume.,host-metal footprint.,"BY-PRODUCT — China-dominated, export-controlled; fibre-optics, IR optics, semiconductors.",TRUE,"EXTRACTION: none standalone — concentrated in zinc concentrates/residues & some lignite ash (cf. Titan Mining recovering Ge from zinc streams). PROCESSING: chlorination, hydrolysis, zone refining to optical/semiconductor grade. ENERGY/REAGENTS: specialised purification. LOGISTICS: minute volume. FISCAL/ESG: host-metal footprint. STRUCTURAL: BY-PRODUCT — China-dominated, export-controlled; fibre-optics, IR optics, semiconductors.",2025-26
Critical Minerals (India 30),Graphite (natural flake),Open-pit / underground flake graphite,Per tonne concentrate,"Flake concentrate ~$400-1,000/t; battery-spheronised much higher",$/t by flake size & purity; battery (CSPG) premium,flake size distribution & carbon grade in ore; open-pit.,"flotation; for battery anode => micronising, SPHERONISATION & purification (>99.95%) — these downstream steps dominate cost.",flotation reagents; purification (thermal/HF or caustic).,concentrate shipping.,HF-purification effluent controls.,"China dominates flake + spherical; synthetic graphite (from petroleum needle coke, energy-intensive) is the substitute.",FALSE,"EXTRACTION: flake size distribution & carbon grade in ore; open-pit. PROCESSING: flotation; for battery anode => micronising, SPHERONISATION & purification (>99.95%) — these downstream steps dominate cost. ENERGY/REAGENTS: flotation reagents; purification (thermal/HF or caustic). LOGISTICS: concentrate shipping. FISCAL/ESG: HF-purification effluent controls. STRUCTURAL: China dominates flake + spherical; synthetic graphite (from petroleum needle coke, energy-intensive) is the substitute.",2025-26
Critical Minerals (India 30),Hafnium,By-product of zirconium refining (nuclear-grade Zr separation),Per kg Hf,Very high; cost = Zr/Hf separation,$/kg Hf (nuclear/superalloy grade),none — always with zircon/zirconium.,the COST IS THE SEPARATION of chemically near-identical Hf from Zr (solvent extraction) needed because nuclear Zr must be Hf-free.,"solvent-extraction chemicals, energy.",tiny.,nuclear-supply-chain controls.,BY-PRODUCT of nuclear-grade zirconium demand; superalloys & semiconductors.,TRUE,"EXTRACTION: none — always with zircon/zirconium. PROCESSING: the COST IS THE SEPARATION of chemically near-identical Hf from Zr (solvent extraction) needed because nuclear Zr must be Hf-free. ENERGY/REAGENTS: solvent-extraction chemicals, energy. LOGISTICS: tiny. FISCAL/ESG: nuclear-supply-chain controls. STRUCTURAL: BY-PRODUCT of nuclear-grade zirconium demand; superalloys & semiconductors.",2025-26
Critical Minerals (India 30),Indium,By-product of zinc refining,Per kg In,Recovered from zinc residues,$/kg In,none standalone — in zinc (sphalerite) concentrates/residues.,"leaching from residues, solvent extraction, electrorefining.",incremental hydromet.,minor.,host-metal footprint.,"BY-PRODUCT — supply tied to zinc output; ITO (indium-tin-oxide) for flat-panel/touchscreens, thin-film solar.",TRUE,"EXTRACTION: none standalone — in zinc (sphalerite) concentrates/residues. PROCESSING: leaching from residues, solvent extraction, electrorefining. ENERGY/REAGENTS: incremental hydromet. LOGISTICS: minor. FISCAL/ESG: host-metal footprint. STRUCTURAL: BY-PRODUCT — supply tied to zinc output; ITO (indium-tin-oxide) for flat-panel/touchscreens, thin-film solar.",2025-26
Critical Minerals (India 30),Lithium,See Critical/Base context; spodumene open-pit or brine evaporation,Per tonne LCE,"Spodumene ~$4,000-6,000/t LCE; brine ~$2,000-4,000/t LCE",$/t LCE or LiOH,hard-rock Li2O grade & hardness vs brine concentration & Mg:Li ratio.,spodumene roast-leach to carbonate/hydroxide (major cost) vs brine solar evaporation (climate-dependent) or Direct Lithium Extraction (DLE).,"acid/soda ash, energy for conversion.",spodumene concentrate freight to converters (mostly China).,"water use (brine), tailings.",India's J&K Reasi find is early-stage; chemical-grade conversion is where value/cost concentrates.,FALSE,"EXTRACTION: hard-rock Li2O grade & hardness vs brine concentration & Mg:Li ratio. PROCESSING: spodumene roast-leach to carbonate/hydroxide (major cost) vs brine solar evaporation (climate-dependent) or Direct Lithium Extraction (DLE). ENERGY/REAGENTS: acid/soda ash, energy for conversion. LOGISTICS: spodumene concentrate freight to converters (mostly China). FISCAL/ESG: water use (brine), tailings. STRUCTURAL: India's J&K Reasi find is early-stage; chemical-grade conversion is where value/cost concentrates.",2025-26
